sequence_id,Pos_x,Pos_y,Pos_z,RotE_x,RotE_y,RotE_z,RotQ_x,RotQ_y,RotQ_z,RotQ_w
273781ac-ad26-4c1b-9243-77e430beec6f,-76.81188,11.4364338,-467.340942,11.09892,350.2685,109.135216,0.1377142,-0.4692866,-0.07436427,-0.8690655
5f591cd5-a504-4796-80eb-6e3b657f1d5f,-76.84786,11.4274559,-467.346222,353.0118,342.845917,173.507217,0.05424108,-0.4325971,-0.07205301,-0.8970653
1b56c676-f358-4de1-932c-ea611a040814,-76.87665,11.4202642,-467.350525,354.2845,352.5663,207.63649,-0.1239939,0.4352927,0.03699566,0.8909417
4eb0ca63-266c-4a41-8738-6812e93c6397,-76.912674,11.4111929,-467.355865,7.46011,346.249878,265.0456,-0.1846776,0.4021208,0.0410568,0.8958277
51ce3968-1b5e-4069-9425-f08b70fdd708,-76.9487,11.4021158,-467.3613,358.2107,358.1585,329.723022,0.1193343,-0.5355859,-0.1076272,-0.8290498
2338e814-266f-43ef-aa1e-ae83b1617d5b,-76.98477,11.3930187,-467.366638,5.84472847,352.8484,18.2590847,0.07387921,-0.5355785,-0.05912565,-0.8391672
c5ddf086-e058-4086-ab25-f891df8b69e2,-77.02083,11.384016,-467.371918,358.488434,355.5774,63.6390724,-0.07925327,0.4475419,-0.009681311,0.8906916
a727a073-0c92-4575-a2e7-cb9965d4c822,-77.0568542,11.3749847,-467.3773,9.821116,345.980438,126.963905,-0.1758085,0.4445261,-0.001733802,0.8783422
503df766-9c97-4131-85af-a58454ad0461,-77.092926,11.3654718,-467.382721,5.11502838,358.976624,179.637619,0.005933462,-0.4416169,-0.07553406,-0.8939989
4599b833-1e0d-44c7-961a-63de1cef8df5,-77.12935,11.3555889,-467.388245,357.94162,347.376373,237.390472,0.1621261,-0.4824268,-0.09348492,-0.8557102
d0dc007a-2723-47c6-821d-31cbdbfc9713,-77.15853,11.3475819,-467.39267,355.865784,353.952179,277.7692,0.06545109,-0.5124794,-0.05562957,-0.8543925
afe287a4-5bbe-4666-a59a-5f9cc6f91a9f,-77.1951752,11.3376331,-467.398224,9.393522,343.231659,328.107178,-0.0297216,0.5020932,0.00906483,0.8642551
7017b302-8d79-4155-b882-52966d225835,-77.2244644,11.3300915,-467.402618,9.230036,348.089844,4.844547,-0.05428225,0.4528528,0.01015084,0.8898734
e67af863-93b6-4064-a8e4-4cdc16010c19,-77.261055,11.3208656,-467.4081,7.60600233,344.5805,65.2219543,0.1326739,-0.4943008,-0.07996213,-0.8553774
880520c3-bab7-4cb9-b35a-14b47553dcfd,-77.29033,11.3134756,-467.412445,3.78793383,353.539368,113.332634,-0.009548919,-0.4824127,-0.07396045,-0.8727638
81e9a27b-0db9-4eb6-95ed-7a0db8ba1ced,-77.32688,11.3042135,-467.417877,2.66248727,346.663422,163.034744,-0.02694184,-0.4000449,-0.07502891,-0.9130219
