sequence_id,Pos_x,Pos_y,Pos_z,RotE_x,RotE_y,RotE_z,RotQ_x,RotQ_y,RotQ_z,RotQ_w
bf11a11a-5365-4ad2-a31a-26d42d201ad0,-386.248962,11.1860809,-671.1955,341.993225,56.7371941,8.98E-07,0.1325769,-0.4697177,-0.07159021,-0.869864
55df4600-881e-44ff-8b62-91410d50047e,-379.928925,13.5840616,-667.05,342.668365,56.7371941,0,0.1274118,-0.4701344,-0.0688011,-0.8706355
0ae2213b-4291-4021-a759-487240547cf8,-373.6089,15.8839426,-662.9045,343.34848,56.7371941,0,0.1242926,-0.4703778,-0.06711675,-0.8710863
788799ab-f2a6-471b-a626-90a8bf22bf68,-369.816864,17.2167854,-660.4172,343.7589,56.7371941,4.45E-07,0.1211589,-0.4706162,-0.06542459,-0.8715277
8edbff8f-3694-4a55-9c90-5805bef653ff,-366.024841,18.51431,-657.9299,344.171051,56.7371979,-4.44E-07,0.1169583,-0.4709259,-0.06315631,-0.8721014
2870df7b-33b2-4b5c-a58b-5d048b737238,-360.9688,20.1894073,-654.613464,344.723175,56.7371979,4.43E-07,0.1137913,-0.4711522,-0.06144614,-0.8725203
24a72f86-c0cd-4bc8-abcb-3434a61e723a,-357.1768,21.40453,-652.12616,345.139221,56.7372,-8.83E-07,0.1084827,-0.4715171,-0.05857956,-0.8731961
2ce058d8-a5cd-4375-b4e5-350b0da83ee9,-350.85675,23.3512516,-647.980652,345.836151,56.7372,0,0.1063489,-0.4716588,-0.05742732,-0.8734587
fdd98ff1-db2f-4413-9c01-7ec09c9c575b,-348.328735,24.1024723,-646.322449,346.116119,56.73719,0,0.1042092,-0.471798,-0.05627193,-0.8737165
e97a0f37-6a22-479f-9d3f-15446c77a7ea,-345.80072,24.8379974,-644.664246,346.3968,56.73719,4.39E-07,0.09883539,-0.4721351,-0.05337011,-0.8743407
d5ac0a85-ec0f-474e-83b1-94aab3c96c8f,-339.480682,26.60814,-640.518738,347.101349,56.7371979,-4.38E-07,0.09451138,-0.4723932,-0.05103519,-0.8748186
84840c11-c6b3-45f3-8f16-0e54def4c7bd,-334.424652,27.9536228,-637.202332,347.667877,56.7371941,4.37E-07,0.09016649,-0.4726408,-0.048689,-0.8752771
689090af-04db-41dd-a6d9-ed1a8db0a6a0,-329.368622,29.2363224,-633.8859,348.236877,56.7371941,0,0.08689415,-0.4728195,-0.04692196,-0.875608
1cdf7c31-0495-443b-bf30-19e6617d5e33,-325.5766,30.1571445,-631.3986,348.6652,56.7371941,4.35E-07,0.08470669,-0.4729352,-0.04574076,-0.8758224
1700abb1-fa96-4161-8494-41175e141bb9,-323.048584,30.7514057,-629.7404,348.951447,56.7371941,8.70E-07,0.08141647,-0.4731037,-0.04396407,-0.8761343
4250635b-137f-4b1f-bb59-54a8de6c2a94,-319.256561,31.6133671,-627.2531,349.381866,56.7371941,0,0.0781157,-0.473266,-0.04218169,-0.8764348
4fdbcebb-342d-4928-8dd9-874284262093,-315.464539,32.4400139,-624.7658,349.8135,56.7372,-4.34E-07,0.07259226,-0.4735222,-0.03919908,-0.8769096
