,sequence_id,c1,c2,c3,c4,c5,c6,c7,c8,c9,fov,RotQ_x,RotQ_y,RotQ_z,RotQ_w
0,6ef7206e-88e2-425b-8fbf-6502eeda0d50,51.4304581,0,0,0,82.2887344,0,0,0,-1.00015008,1.397063971,-0.006388315,0.986187339,-0.160806939,-0.03917788
1,6ef7206e-88e2-425b-8fbf-6502eeda0d50,51.2619171,0,0,0,82.0190659,0,0,0,-1.00015008,1.401644111,-0.006083323,0.986432433,-0.159693614,-0.037576873
2,c8b21e0a-dba1-48e2-bcb1-df0b7a1566c7,51.0943871,0,0,0,81.75102,0,0,0,-1.00015008,1.406226516,-0.005780612,0.9866742,-0.158578128,-0.03596701
3,e49e222e-4a19-4093-87fb-35a8b3c6f276,50.9278755,0,0,0,81.4846039,0,0,0,-1.00015008,1.406226516,-0.005480213,0.986912549,-0.157460451,-0.034348257
4,5615aa1b-4603-4fa4-97f8-2ca7f37588c4,50.9278755,0,0,0,81.4846039,0,0,0,-1.00015008,1.410810113,-0.005480213,0.986912549,-0.157460451,-0.034348257
5,2f1911ff-9098-450c-ad7d-33277bb44174,50.7624,0,0,0,81.21984,0,0,0,-1.00015008,1.415395498,-0.005182163,0.9871475,-0.156340644,-0.032720603
6,ded45d96-acd3-4ae6-a2e8-9ee013ab43d2,50.5979233,0,0,0,80.95668,0,0,0,-1.00015008,1.429155588,-0.004886493,0.9873789,-0.15521872,-0.031084007
7,3af34aed-7f9e-4413-99f2-41c8969e699d,50.1107178,0,0,0,80.17715,0,0,0,-1.00015008,1.429155588,-0.004014112,0.988051653,-0.151840836,-0.026120441
8,4bfd5cae-4f14-4be2-a3d2-2933e7bfcd50,50.1107178,0,0,0,80.17715,0,0,0,-1.00015008,1.433742881,-0.004014112,0.988051653,-0.151840836,-0.026120441
9,028a1f1c-6ef6-4ee9-bee0-f00e26e721b6,49.9503746,0,0,0,79.9206,0,0,0,-1.00015008,1.438329577,-0.003728307,0.9882685,-0.150710955,-0.02444792
10,78d9ae16-ced6-4350-88f3-71209c9332dc,49.7910652,0,0,0,79.6657,0,0,0,-1.00015008,1.452084422,-0.003445054,0.988481641,-0.149579152,-0.022766361
11,9a2c4772-8eee-4ed5-add9-66b1f81eb1ae,49.31937,0,0,0,78.9109955,0,0,0,-1.00015008,1.452084422,-0.002610952,0.989097834,-0.146172985,-0.017667333
12,1d8152f8-1092-4a1a-adc5-ca94c12d380a,49.31937,0,0,0,78.9109955,0,0,0,-1.00015008,1.456666112,-0.002610952,0.989097834,-0.146172985,-0.017667333
13,661a7aad-a093-4763-a110-91b04583a2f2,49.1642265,0,0,0,78.6627655,0,0,0,-1.00015008,1.465822697,-0.002338249,0.9892953,-0.145034134,-0.01594948
14,2c3eaed0-d5a4-43a0-b5de-4bd5f83feacc,48.85708,0,0,0,78.1713257,0,0,0,-1.00015008,1.470396638,-0.001801047,0.9896782,-0.14275156,-0.012486428
15,86012c79-0491-4202-9000-811abcf7640d,48.7050819,0,0,0,77.92813,0,0,0,-1.00015008,1.474967599,-0.001536615,0.9898634,-0.14160791,-0.010741199
16,cd4b5ea0-54d0-40bd-be87-4f1a86871049,48.55413,0,0,0,77.68661,0,0,0,-1.00015008,1.479534388,-0.001275007,0.990044355,-0.140462771,-0.008986819
17,a028a3ae-95c0-4d3d-9381-600a5d90df7f,48.4042435,0,0,0,77.44679,0,0,0,-1.00015008,1.484097004,-0.001016257,0.990221143,-0.139316231,-0.007223277
18,2bdc93d4-5c57-4c75-9934-57a12385598e,48.25542,0,0,0,77.20867,0,0,0,-1.00015008,1.488655686,-0.0007604,0.9903935,-0.138168246,-0.005450564
19,3cebbb13-9d19-48a5-89a8-227283e6d3a1,48.1076241,0,0,0,76.9722,0,0,0,-1.00015008,1.493208885,-0.000507467,0.9905615,-0.137018949,-0.00366867
20,8e66aac5-2a25-4e8c-b43f-5403021a8abd,47.96092,0,0,0,76.73747,0,0,0,-1.00015008,1.502298474,-0.000257493,0.9907251,-0.135868385,-0.001877589
21,21ec9072-b91b-4f43-b234-1bbd7d34dc62,47.6707039,0,0,0,76.2731247,0,0,0,-1.00015008,1.506834745,0.000233446,0.99103874,-0.1335637,0.001732163
22,0e739122-9929-4f5e-ad0e-0e863bb834ba,47.5271759,0,0,0,76.04348,0,0,0,-1.00015008,1.511363864,0.000474346,0.9911886,-0.132409677,0.003550845
23,f33dff34-afa7-4c5f-abc9-94f6eab4a0ba,47.3847275,0,0,0,75.81557,0,0,0,-1.00015008,1.51588583,0.000712156,0.991333842,-0.131254658,0.005378734
24,aa51326a-8990-442c-b90e-bf5c08c8fa65,47.2433624,0,0,0,75.58938,0,0,0,-1.00015008,1.520400286,0.000946843,0.9914744,-0.130098641,0.007215835
25,9d8d935e-d64d-44fd-ab45-6556633a7eac,47.1030655,0,0,0,75.36491,0,0,0,-1.00015008,1.524906993,0.001178375,0.9916101,-0.1289417,0.009062147
26,353dcc5b-0497-41d1-a17e-2e06800d144c,46.9638443,0,0,0,75.14215,0,0,0,-1.00015008,1.533894181,0.001406722,0.991740942,-0.127783969,0.010917672
27,e3d96bc1-336d-48e6-a2f3-5c306a0fd44c,46.68865,0,0,0,74.7018356,0,0,0,-1.00015008,1.538373709,0.00185373,0.9919879,-0.125466228,0.014656353
